epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.04039,1.69584,1.52254,1.2503,0.92142,0.84122,0.91391,0.48986,1.6286,0.87804,1.35516,0.000660494,0.000660494,0.000660494
2,17.8809,1.64846,0.96481,1.28007,0.8991,0.92045,0.94378,0.48442,1.67812,0.76315,1.42071,0.00130088,0.00130088,0.00130088
3,26.4594,1.66671,0.95501,1.30899,0.923,0.89432,0.95244,0.50162,1.62796,0.80892,1.37921,0.00191487,0.00191487,0.00191487
4,34.3783,1.63704,0.89103,1.3,0.90244,0.90245,0.93865,0.51653,1.53632,0.74358,1.31889,0.0018812,0.0018812,0.0018812
5,42.4107,1.61856,0.86729,1.2974,0.9072,0.86801,0.94701,0.49932,1.6203,0.78905,1.39251,0.0018416,0.0018416,0.0018416
6,50.6241,1.63027,0.799,1.29152,0.91199,0.92175,0.95964,0.51098,1.61523,0.73867,1.34573,0.001802,0.001802,0.001802
7,59.3708,1.60252,0.80049,1.27695,0.89835,0.92539,0.95816,0.52639,1.57512,0.74515,1.33059,0.0017624,0.0017624,0.0017624
8,68.0009,1.56078,0.81011,1.26984,0.93664,0.93328,0.96948,0.54207,1.54607,0.69881,1.31855,0.0017228,0.0017228,0.0017228
9,75.9709,1.58403,0.76913,1.27224,0.94581,0.9265,0.96853,0.54288,1.54468,0.69866,1.31417,0.0016832,0.0016832,0.0016832
10,83.8938,1.54495,0.76814,1.25048,0.93503,0.91535,0.96789,0.54019,1.52086,0.66014,1.29221,0.0016436,0.0016436,0.0016436
11,91.8189,1.5257,0.74216,1.23983,0.93444,0.92028,0.97157,0.53489,1.54174,0.68119,1.30405,0.001604,0.001604,0.001604
12,99.7755,1.5653,0.78113,1.26533,0.89576,0.937,0.95892,0.5145,1.5894,0.72044,1.35051,0.0015644,0.0015644,0.0015644
13,107.728,1.52633,0.71728,1.23532,0.91991,0.93937,0.96869,0.56501,1.49877,0.63194,1.28751,0.0015248,0.0015248,0.0015248
14,115.595,1.53657,0.74227,1.23987,0.93528,0.92109,0.96981,0.5427,1.54366,0.64005,1.30651,0.0014852,0.0014852,0.0014852
15,123.51,1.50538,0.74334,1.22158,0.93444,0.94065,0.97161,0.5576,1.49253,0.66593,1.27508,0.0014456,0.0014456,0.0014456
16,131.428,1.47751,0.70198,1.20965,0.92818,0.934,0.97343,0.56036,1.4899,0.63454,1.27767,0.001406,0.001406,0.001406
17,139.391,1.46488,0.71282,1.21187,0.9362,0.93113,0.96897,0.5491,1.53514,0.65417,1.30637,0.0013664,0.0013664,0.0013664
18,147.294,1.48862,0.71791,1.20366,0.93394,0.93309,0.97463,0.55195,1.52027,0.63438,1.28897,0.0013268,0.0013268,0.0013268
19,155.245,1.46196,0.70676,1.21089,0.9392,0.93687,0.97544,0.56237,1.49101,0.63495,1.27124,0.0012872,0.0012872,0.0012872
20,163.102,1.47026,0.69382,1.19557,0.94061,0.93157,0.97152,0.56423,1.46857,0.62518,1.27329,0.0012476,0.0012476,0.0012476
21,170.968,1.44222,0.68544,1.19381,0.94561,0.92289,0.97225,0.57384,1.46487,0.60386,1.26634,0.001208,0.001208,0.001208
22,178.925,1.43988,0.66472,1.1969,0.92731,0.93974,0.96718,0.54843,1.49647,0.6428,1.27344,0.0011684,0.0011684,0.0011684
23,186.832,1.427,0.65464,1.18302,0.95206,0.9117,0.96788,0.57117,1.48684,0.60641,1.26849,0.0011288,0.0011288,0.0011288
24,194.722,1.42031,0.64718,1.20208,0.91334,0.93687,0.96842,0.55321,1.4988,0.63491,1.28162,0.0010892,0.0010892,0.0010892
25,202.62,1.39662,0.64427,1.17786,0.927,0.92826,0.96382,0.54709,1.47741,0.61814,1.26474,0.0010496,0.0010496,0.0010496
26,210.519,1.39444,0.63695,1.17172,0.95848,0.91392,0.97899,0.58248,1.46407,0.58359,1.26657,0.00101,0.00101,0.00101
27,218.41,1.4017,0.6607,1.18267,0.94073,0.9108,0.97397,0.5568,1.4783,0.6152,1.26838,0.0009704,0.0009704,0.0009704
28,226.393,1.39719,0.63605,1.16302,0.94337,0.94261,0.97896,0.57636,1.4565,0.58934,1.25043,0.0009308,0.0009308,0.0009308
29,234.256,1.36358,0.61955,1.16528,0.9404,0.93831,0.97696,0.57887,1.48605,0.61066,1.26718,0.0008912,0.0008912,0.0008912
30,242.141,1.37368,0.62209,1.16071,0.94404,0.9197,0.96832,0.57516,1.47038,0.59381,1.2652,0.0008516,0.0008516,0.0008516
31,250.059,1.35827,0.63498,1.17414,0.94141,0.94405,0.97629,0.57978,1.45004,0.58455,1.25359,0.000812,0.000812,0.000812
