epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.61254,2.11058,1.36786,1.46049,0.71584,0.66228,0.65845,0.21154,1.68547,6.43097,0.95817,0.0668125,1.25411e-05,1.25411e-05
2,18.955,1.87293,1.0736,1.33425,0.82377,0.75484,0.80965,0.28869,1.49748,3.61081,0.88526,0.0334913,2.46349e-05,2.46349e-05
3,28.1458,1.79485,1.02653,1.29648,0.77651,0.72258,0.72074,0.22426,1.70853,5.28751,1.00211,0.000169563,3.623e-05,3.623e-05
4,37.2482,1.74983,0.98921,1.26606,0.82771,0.75937,0.79585,0.26428,1.58301,3.34075,0.94131,3.55305e-05,3.55305e-05,3.55305e-05
5,46.3764,1.69659,0.98018,1.25139,0.80797,0.74839,0.75719,0.24437,1.61686,4.30852,0.959,3.47826e-05,3.47826e-05,3.47826e-05
6,55.5994,1.68353,0.94304,1.25039,0.77997,0.72042,0.76226,0.22481,1.64481,4.7324,0.98733,3.40346e-05,3.40346e-05,3.40346e-05
7,64.7163,1.66437,0.97055,1.22939,0.75287,0.73871,0.73819,0.2279,1.63454,5.88721,0.98735,3.32867e-05,3.32867e-05,3.32867e-05
8,73.8117,1.63593,0.9401,1.22128,0.74957,0.72897,0.71929,0.21202,1.69347,6.17611,1.0176,3.25388e-05,3.25388e-05,3.25388e-05
9,82.8818,1.64036,0.94448,1.22372,0.74759,0.68065,0.68066,0.19819,1.73751,4.48923,1.05085,3.17908e-05,3.17908e-05,3.17908e-05
10,92.1132,1.60724,0.9126,1.22276,0.77408,0.64658,0.66917,0.18653,1.77118,5.19749,1.07859,3.10429e-05,3.10429e-05,3.10429e-05
11,101.341,1.60425,0.91382,1.21188,0.73641,0.65323,0.64861,0.17591,1.82634,6.5025,1.1318,3.0295e-05,3.0295e-05,3.0295e-05
12,110.658,1.57678,0.90265,1.21031,0.72985,0.67104,0.62743,0.17079,1.79928,6.88218,1.11078,2.9547e-05,2.9547e-05,2.9547e-05
13,119.73,1.61317,0.91037,1.21112,0.73445,0.66467,0.64355,0.16689,1.82856,6.00816,1.13176,2.87991e-05,2.87991e-05,2.87991e-05
